group_target,group_comp,tile_same,T1_same,T2_same,D1_same,D2_same,same2fold,same3fold,same4fold,same6fold,distance,user_id,task_id,correct
PMG,CMM,False,False,False,False,False,True,True,True,True,2,A2602OOFDKNFS8,32992,1
P31M,PG,False,False,False,True,True,True,False,True,True,3,A2602OOFDKNFS8,7526,1
P3M1,CM,False,True,True,True,True,True,False,True,True,1,A2602OOFDKNFS8,11968,1
P31M,P4G,False,False,False,False,False,False,False,False,True,3,A2602OOFDKNFS8,9139,0
PGG,P4G,False,True,True,False,False,True,True,False,True,4,A2602OOFDKNFS8,29675,1
PGG,PM,True,False,False,True,True,False,True,True,True,2,A2602OOFDKNFS8,29991,1
P31M,PMM,False,True,True,True,True,False,False,True,True,3,A2602OOFDKNFS8,8116,1
P31M,CM,False,False,False,False,True,True,False,True,True,1,A2602OOFDKNFS8,9428,1
P6M,P6,True,False,False,False,False,True,True,True,True,1,A2602OOFDKNFS8,16,1
P2,PM,False,False,True,True,True,False,True,True,True,3,A2602OOFDKNFS8,50491,0
CMM,P3,False,True,True,False,False,False,False,True,True,3,A2602OOFDKNFS8,25769,0
PG,P3,False,False,True,True,True,True,False,True,True,2,A2602OOFDKNFS8,43708,1
PGG,PG,True,True,False,True,True,False,True,True,True,1,A2602OOFDKNFS8,29921,1
PM,P4M,False,True,False,False,False,False,True,False,True,6,A2602OOFDKNFS8,47609,1
P4,P4G,True,False,False,False,False,True,True,True,True,1,A2602OOFDKNFS8,23889,0
PMG,PMM,True,False,True,True,True,True,True,True,True,1,A2602OOFDKNFS8,34344,1
P3M1,PG,False,False,True,False,True,True,False,True,True,3,A2602OOFDKNFS8,10745,1
CMM,P6,False,True,True,False,False,True,False,True,False,2,A2602OOFDKNFS8,27590,1
P6M,P4,False,False,False,False,False,True,False,False,False,3,A2602OOFDKNFS8,911,1
PMG,PM,True,False,False,True,True,False,True,True,True,2,A2602OOFDKNFS8,35095,1
CM,P4G,False,False,False,True,False,False,True,False,True,4,A2602OOFDKNFS8,38615,1
P3,P4M,False,False,False,False,False,False,False,False,True,5,A2602OOFDKNFS8,15594,1
PM,P1,False,False,True,True,True,True,True,True,True,2,A2602OOFDKNFS8,46056,0
P4G,P3,False,False,False,False,False,False,False,False,True,4,A2602OOFDKNFS8,16176,0
PMM,PM,True,True,False,True,True,False,True,True,True,3,A2602OOFDKNFS8,37653,1
